dataset,variant,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20
Beauty,baseline,0.012630484066903591,0.014966478571295738,0.018083591014146805,0.01788799650967121,0.025409085676074028,0.03862180933356285
Beauty,"tuned, 0.07",0.01390575710684061,0.017331179231405258,0.02239559032022953,0.020632177591323853,0.03150726854801178,0.052037809044122696
Beauty,logQ,0.015879176557064056,0.0199273731559515,0.024530597031116486,0.022461632266640663,0.03608090430498123,0.056103263050317764
VK-small,baseline,0.003910467028617859,0.006012817844748497,0.008408932015299797,0.006744868122041225,0.013049853034317493,0.02316715568304062
VK-small,"tuned, 0.07",0.00386356795206666,0.00579075375571847,0.008327207528054714,0.006451612804085016,0.01246334332972765,0.022580645978450775
VK-small,logQ,0.003923583310097456,0.005719069857150316,0.00866654235869646,0.0065982406958937645,0.01260997075587511,0.025659823790192604
Yambda,baseline,0.0029613750521093607,0.0034306589514017105,0.004800267051905394,0.004430125001817942,0.008457510732114315,0.0140958521515131
Yambda,"tuned, 0.07",0.002646666020154953,0.0036455874796956778,0.005158422514796257,0.004832863342016935,0.008054772391915321,0.0140958521515131
Yambda,logQ,0.003392251208424568,0.004161709453910589,0.005999659188091755,0.005235602147877216,0.007652034051716328,0.016109544783830643
