dataset,variant,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20
Beauty,baseline,0.026892703026533127,0.0341164730489254,0.04034438729286194,0.04082636535167694,0.0633188784122467,0.08889684081077576
Beauty,"tuned, 0.07",0.030411316081881523,0.03838587924838066,0.04702705889940262,0.04655010625720024,0.07163618505001068,0.10606805980205536
Beauty,logQ,0.03179898485541344,0.03967784717679024,0.0482659786939621,0.04869650676846504,0.07293296605348587,0.10709654539823532
VK-small,baseline,0.06223176792263985,0.07820947468280792,0.09503347426652908,0.09412102401256561,0.143785759806633,0.2108187973499298
VK-small,"tuned, 0.07",0.06436081975698471,0.07997601479291916,0.0969991683959961,0.09680726379156113,0.1452416628599167,0.21295137703418732
VK-small,logQ,0.06196170300245285,0.07688739150762558,0.09307417273521423,0.0930752381682396,0.14187872409820557,0.20573338866233826
Yambda,baseline,0.01250570546835661,0.015947982668876648,0.020418299362063408,0.01959897391498089,0.03165988251566887,0.049751244485378265
Yambda,"tuned, 0.07",0.01331344898790121,0.016672346740961075,0.02108977921307087,0.021408110857009888,0.03271521255373955,0.05020352825522423
Yambda,logQ,0.012569284997880459,0.016748731955885887,0.020416704937815666,0.020202020183205605,0.03211216628551483,0.04809286817908287
