dataset,variant,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20
Beauty,baseline,0.03204496577382088,0.04061460122466087,0.04812716692686081,0.04857621341943741,0.07526881992816925,0.10623007267713547
Beauty,"tuned, 0.07",0.03647131100296974,0.045918699353933334,0.05618400126695633,0.0556546188890934,0.08521100133657455,0.12665477395057678
Beauty,logQ,0.038005948066711426,0.04723745211958885,0.05735528841614723,0.058086130768060684,0.08656184375286102,0.12681688368320465
VK-small,baseline,0.06504472345113754,0.08174464106559753,0.099317766726017,0.09837540984153748,0.1502850502729416,0.22032663226127625
VK-small,"tuned, 0.07",0.06727001070976257,0.083591029047966,0.10137324780225754,0.10118307918310165,0.1518067568540573,0.2225341796875
VK-small,logQ,0.06476245075464249,0.08036279678344727,0.09725460410118103,0.09728235006332397,0.14824895560741425,0.2149256318807602
Yambda,baseline,0.013351093046367168,0.01702607050538063,0.02179858088493347,0.02092386968433857,0.033800095319747925,0.05311443656682968
Yambda,"tuned, 0.07",0.01421344093978405,0.01778651773929596,0.022461799904704094,0.02269435115158558,0.0347658134996891,0.053436342626810074
Yambda,logQ,0.013418970629572868,0.01788095012307167,0.02175460383296013,0.021567679941654205,0.03428295627236366,0.05134395509958267
