dataset,metric,base,value,abs_uplift,rel_uplift_%
Beauty,ndcg@5,0.01390575710684061,0.015879176557064056,0.001973419450223446,14.19138443927421
Beauty,ndcg@10,0.017331179231405258,0.0199273731559515,0.0025961939245462418,14.97990350155611
Beauty,ndcg@20,0.02239559032022953,0.024530597031116486,0.0021350067108869553,9.533156663249203
Beauty,recall@5,0.020632177591323853,0.022461632266640663,0.0018294546753168106,8.866997519864913
Beauty,recall@10,0.03150726854801178,0.03608090430498123,0.004573635756969452,14.516129032258066
Beauty,recall@20,0.052037809044122696,0.056103263050317764,0.004065454006195068,7.812500335569436
VK-small,ndcg@5,0.00386356795206666,0.003923583310097456,6.001535803079605e-05,1.5533661831596168
VK-small,ndcg@10,0.00579075375571847,0.005719069857150316,-7.168389856815338e-05,-1.2379027254848178
VK-small,ndcg@20,0.008327207528054714,0.00866654235869646,0.0003393348306417465,4.075013496403364
VK-small,recall@5,0.006451612804085016,0.0065982406958937645,0.00014662789180874825,2.2727323579602725
VK-small,recall@10,0.01246334332972765,0.01260997075587511,0.00014662742614746094,1.1764694453832802
VK-small,recall@20,0.022580645978450775,0.025659823790192604,0.003079177811741829,13.636358387091132
Yambda,ndcg@5,0.002646666020154953,0.003392251208424568,0.0007455851882696152,28.170731878968386
Yambda,ndcg@10,0.0036455874796956778,0.004161709453910589,0.0005161219742149115,14.157443130619807
Yambda,ndcg@20,0.005158422514796257,0.005999659188091755,0.0008412366732954979,16.30802189782867
Yambda,recall@5,0.004832863342016935,0.005235602147877216,0.000402738805860281,8.333337348045164
Yambda,recall@10,0.008054772391915321,0.007652034051716328,-0.0004027383401989937,-4.999996531289045
Yambda,recall@20,0.0140958521515131,0.016109544783830643,0.002013692632317543,14.285710510246705
