dataset,variant,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20
Beauty,baseline,0.009040247648954391,0.01066225953400135,0.013108760118484497,0.012631203979253769,0.017790429294109344,0.028108878061175346
Beauty,"tuned, 0.07",0.010609346441924572,0.012986433692276478,0.016627442091703415,0.015833482146263123,0.023305460810661316,0.03789361193776131
Beauty,logQ,0.012171566486358643,0.015560385771095753,0.019527344033122063,0.017790429294109344,0.02864259108901024,0.044298168271780014
VK-small,baseline,0.002747357590124011,0.0037262376863509417,0.005414870567619801,0.0052259452641010284,0.009222256019711494,0.015985244885087013
VK-small,"tuned, 0.07",0.0020910222083330154,0.0030717456247657537,0.0047349766828119755,0.003996311221271753,0.007070396561175585,0.013833384960889816
VK-small,logQ,0.002956988289952278,0.0048170313239097595,0.006880233529955149,0.005533353891223669,0.011374115943908691,0.020288964733481407
Yambda,baseline,0.002378870500251651,0.0030755766201764345,0.004130526911467314,0.0038850039709359407,0.008547008968889713,0.013209013268351555
Yambda,"tuned, 0.07",0.0015001371502876282,0.002074257703498006,0.0033154732082039118,0.0023310023825615644,0.005439005326479673,0.009324009530246258
Yambda,logQ,0.001655734027735889,0.002026322763413191,0.0032399222254753113,0.0023310023825615644,0.005439005326479673,0.010101010091602802
