dataset,variant,metric,baseline,value,abs_uplift,rel_uplift_%
Beauty,"tuned, 0.07",ndcg@5,0.009040247648954391,0.010609346441924572,0.0015690987929701805,17.356812046533534
Beauty,"tuned, 0.07",ndcg@10,0.01066225953400135,0.012986433692276478,0.0023241741582751274,21.798139042324618
Beauty,"tuned, 0.07",ndcg@20,0.013108760118484497,0.016627442091703415,0.003518681973218918,26.842218039044507
Beauty,"tuned, 0.07",recall@5,0.012631203979253769,0.015833482146263123,0.0032022781670093536,25.35212139926616
Beauty,"tuned, 0.07",recall@10,0.017790429294109344,0.023305460810661316,0.0055150315165519714,30.999991205260425
Beauty,"tuned, 0.07",recall@20,0.028108878061175346,0.03789361193776131,0.00978473387658596,34.810118907239016
Beauty,logQ,ndcg@5,0.009040247648954391,0.012171566486358643,0.003131318837404251,34.637533826481224
Beauty,logQ,ndcg@10,0.01066225953400135,0.015560385771095753,0.004898126237094402,45.938913993554095
Beauty,logQ,ndcg@20,0.013108760118484497,0.019527344033122063,0.006418583914637566,48.964080939941844
Beauty,logQ,recall@5,0.012631203979253769,0.017790429294109344,0.0051592253148555756,40.845079561135975
Beauty,logQ,recall@10,0.017790429294109344,0.02864259108901024,0.010852161794900894,60.99999958120288
Beauty,logQ,recall@20,0.028108878061175346,0.044298168271780014,0.016189290210604668,57.59493557647789
VK-small,"tuned, 0.07",ndcg@5,0.002747357590124011,0.0020910222083330154,-0.0006563353817909956,-23.88969619937133
VK-small,"tuned, 0.07",ndcg@10,0.0037262376863509417,0.0030717456247657537,-0.0006544920615851879,-17.564420648273884
VK-small,"tuned, 0.07",ndcg@20,0.005414870567619801,0.0047349766828119755,-0.0006798938848078251,-12.556050533756046
VK-small,"tuned, 0.07",recall@5,0.0052259452641010284,0.003996311221271753,-0.0012296340428292751,-23.52940914395126
VK-small,"tuned, 0.07",recall@10,0.009222256019711494,0.007070396561175585,-0.0021518594585359097,-23.33333030374088
VK-small,"tuned, 0.07",recall@20,0.015985244885087013,0.013833384960889816,-0.002151859924197197,-13.461538685620727
VK-small,logQ,ndcg@5,0.002747357590124011,0.002956988289952278,0.0002096306998282671,7.630266281383659
VK-small,logQ,ndcg@10,0.0037262376863509417,0.0048170313239097595,0.0010907936375588179,29.273324177745046
VK-small,logQ,ndcg@20,0.005414870567619801,0.006880233529955149,0.0014653629623353481,27.061828053620008
VK-small,logQ,recall@5,0.0052259452641010284,0.005533353891223669,0.0003074086271226406,5.882354513629244
VK-small,logQ,recall@10,0.009222256019711494,0.011374115943908691,0.002151859924197197,23.333335353061635
VK-small,logQ,recall@20,0.015985244885087013,0.020288964733481407,0.004303719848394394,26.923077371241455
Yambda,"tuned, 0.07",ndcg@5,0.002378870500251651,0.0015001371502876282,-0.0008787333499640226,-36.93909987412367
Yambda,"tuned, 0.07",ndcg@10,0.0030755766201764345,0.002074257703498006,-0.0010013189166784286,-32.557111733440955
Yambda,"tuned, 0.07",ndcg@20,0.004130526911467314,0.0033154732082039118,-0.000815053703263402,-19.732439001925428
Yambda,"tuned, 0.07",recall@5,0.0038850039709359407,0.0023310023825615644,-0.0015540015883743763,-40.0
Yambda,"tuned, 0.07",recall@10,0.008547008968889713,0.005439005326479673,-0.00310800364241004,-36.36364082128465
Yambda,"tuned, 0.07",recall@20,0.013209013268351555,0.009324009530246258,-0.003885003738105297,-29.411763461648288
Yambda,logQ,ndcg@5,0.002378870500251651,0.001655734027735889,-0.0007231364725157619,-30.39831182232342
Yambda,logQ,ndcg@10,0.0030755766201764345,0.002026322763413191,-0.0010492538567632437,-34.11567931294301
Yambda,logQ,ndcg@20,0.004130526911467314,0.0032399222254753113,-0.0008906046859920025,-21.56152725986301
Yambda,logQ,recall@5,0.0038850039709359407,0.0023310023825615644,-0.0015540015883743763,-40.0
Yambda,logQ,recall@10,0.008547008968889713,0.005439005326479673,-0.00310800364241004,-36.36364082128465
Yambda,logQ,recall@20,0.013209013268351555,0.010101010091602802,-0.0031080031767487526,-23.52941217945057
